"MouseID","Batch","Sex","Tester","Age.at.Test","Weight","Alopecia","Loss.of.fur.colour","Dermatitis","Loss.of.whiskers","Coat.condition","Piloerection","Cataracts","Eye.discharge.swelling","Microphthalmia","Corneal.opacity","Nasal.discharge","Rectal.prolapse","Vaginal.uterine.","Diarrhea","Vestibular.disturbance","Vision.loss..Visual.Placing.","Menace.reflex","Tail.stiffening","Gait.disorders","Tremor","Tumours","Distended.abdomen","Kyphosis","Body.condition","Breathing.rate.depth","Malocclusions","Righting.Reflex","OverallScore"
"AgedB6-0396","Batch1","Male","Scorer2",43,47.72,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,1,1,0,0,0,0,6.5
"AgedB6-0394","Batch1","Male","Scorer2",43,41.12,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0.5,0,0.5,1,0,0,0,0,6.5
"AgedB6-0686","Batch1","Male","Scorer2",92,40.59,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0.5,1,1,0.5,0,0.5,0,1,0.5,0,0,0,0,7
"AgedB6-0404","Batch1","Female","Scorer2",44,29.74,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,4
"AgedB6-0687","Batch1","Male","Scorer2",92,38.28,0.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0,0,0.5,0,0,0,0,7.5
"AgedB6-0301","Batch1","Male","Scorer1",105,33.49,1,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.5,0,0.5,0,6.5
"AgedB6-0306","Batch1","Female","Scorer1",75,41.65,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0.5,0,0,0,3
"AgedB6-0302","Batch1","Male","Scorer1",105,30.92,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0.5,0,0,0,3.5
"AgedB6-0307","Batch1","Female","Scorer1",75,49.85,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0,0,3.5
"AgedB6-0288","Batch1","Female","Scorer3",87,33.51,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,3.5
"AgedB6-0308","Batch1","Female","Scorer1",75,50.74,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3.5
"AgedB6-0318","Batch1","Male","Scorer1",75,43.05,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.5
"AgedB6-0541","Batch1","Female","Scorer3",42,24.97,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,2
"AgedB6-0420","Batch1","Male","Scorer3",55,49,0.5,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0.5,0,0,0,6.5
"AgedB6-0426","Batch1","Male","Scorer3",55,41.47,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,4
"AgedB6-0521","Batch1","Female","Scorer3",42,29.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"AgedB6-0528","Batch1","Female","Scorer3",42,45.94,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,2
"AgedB6-0737","Batch1","Female","Scorer4",29,26.89,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5
"AgedB6-0744","Batch1","Male","Scorer4",29,40.43,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,4
"AgedB6-0738","Batch1","Female","Scorer4",29,27.55,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"AgedB6-0747","Batch1","Male","Scorer4",28,36.3,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0.5,0,0,0,4.5
"AgedB6-0745","Batch1","Female","Scorer4",28,25.22,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"AgedB6-0746","Batch1","Female","Scorer4",28,27.53,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"AgedB6-0852","Batch1","Male","Scorer4",25,37.17,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"AgedB6-0853","Batch1","Male","Scorer4",25,32.86,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,3
"AgedB6-0875","Batch1","Male","Scorer4",104,36.58,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,9
"AgedB6-0854","Batch1","Male","Scorer4",25,31.96,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"AgedB6-0876","Batch1","Male","Scorer4",104,38.98,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,9
"AgedB6-0855","Batch1","Male","Scorer4",25,31.99,0,0.5,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,5
"AgedB6-0877","Batch1","Male","Scorer4",104,36.03,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,6
"AgedB6-0890","Batch1","Male","Scorer3",106,44.37,0,0.5,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,5
"AgedB6-0891","Batch1","Male","Scorer3",106,47.9,0,0.5,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,5
"AgedB6-0892","Batch1","Male","Scorer3",106,39.38,0,0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,5.5
"AgedB6-0893","Batch1","Male","Scorer3",106,38.99,0,0.5,0,1,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,5
"AgedB6-0310","Batch1","Female","Scorer3",80,39.54,0,0,0,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.5
"AgedB6-0312","Batch1","Male","Scorer3",80,58.66,0,0.5,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0.5,5
"AgedB6-0391","Batch1","Male","Scorer3",63,47.31,0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0.5,0,0,0,0,5
"AgedB6-0407","Batch1","Female","Scorer3",64,33.07,0,0,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,4.5
"AgedB6-0882","Batch1","Male","Scorer3",106,46.09,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0.5,0.5,0,0,0,0,4.5
"AgedB6-0883","Batch1","Male","Scorer3",106,50.73,0,0.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,4
"AgedB6-0884","Batch1","Male","Scorer3",106,36.71,0,0.5,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,4
"AgedB6-0885","Batch1","Male","Scorer3",106,43.66,0,0.5,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0.5,0,0,0,0,4.5
