"MouseID","Batch","Tester","TestAge","Weight","score","CFI_norm","CFI","Sex","center_time_secs","periphery_time_secs","corner_time_secs","center_distance_cm","periphery_distance_cm","corner_distance_cm","grooming_number_bouts","grooming_duration_secs","avg_angular_velocity","avg_base_tail_lateral_displacement","avg_limb_duty_factor","avg_nose_lateral_displacement","avg_speed_cm_per_sec","avg_step_length1","avg_step_length2","avg_step_width","avg_stride_length","avg_tip_tail_lateral_displacement","median_angular_velocity","median_base_tail_lateral_displacement","median_limb_duty_factor","median_nose_lateral_displacement","median_speed_cm_per_sec","median_step_length1","median_step_length2","median_step_width","median_stride_length","median_tip_tail_lateral_displacement","stride_count","Distance.cm.sc","angular_velocity_iqr","base_tail_lateral_displacement_iqr","limb_duty_factor_iqr","nose_lateral_displacement_iqr","speed_cm_per_sec_iqr","step_length1_iqr","step_length2_iqr","step_width_iqr","stride_length_iqr","tip_tail_lateral_displacement_iqr","dAC_mean","dAC_median","dB_mean","dB_median","aABC_mean","aABC_median","median_width","median_length","median_rearpaw","rear_count","rears_0_5","dAC_nongait_mean","dAC_nongait_median","dAC_nongait_stdev","dB_nongait_mean","dB_nongait_median","dB_nongait_stdev","aABC_nongait_mean","aABC_nongait_median","aABC_nongait_stdev"
"AgedB6-0396","Batch1","Scorer2",43,47.72,6.5,0.267857143,7.5,-1,1103.902813,2618.68287,1050.31592,4916.49904,12248.3386,3780.23464,11,189.58934,-2.327183914,0.167057803,0.573904919,0.154335393,15.78995836,1.463622008,2.981783589,2.925360325,3.811169585,0.5031503,-2.019109666,0.166337685,0.571428571,0.120897584,15.54657367,1.273532456,2.847975,2.977061064,3.979774797,0.507276087,991,4.571861212,49.95709298,0.085917386,0.166666667,0.122441209,6.149284116,1.577351432,2.588786298,0.472341171,3.150976909,0.319744207,0.720075656,0.74679734,0.486610769,0.364005495,157.0852727,164.6315367,3.730943298,6.815115356,2.607680962,144,31,0.097658367,0.10157232,0.032889642,1.289470803,1.154339638,1.672262693,150.5826164,159.7751406,30.5413025
"AgedB6-0394","Batch1","Scorer2",43,41.12,6.5,0.267857143,7.5,-1,905.79638,2876.8594,1107.9584,5187.01674,14877.4084,4603.74834,10,84.87922,-3.001353334,0.169326201,0.630421146,0.15328033,15.98039776,2.05726472,2.46249111,3.004669482,4.14612374,0.465506785,-3.093400008,0.159373721,0.625,0.115014358,15.39858265,2.125433056,2.482194054,3.079423096,4.229125942,0.446310033,1024,4.953754859,42.58798568,0.075959537,0.160119048,0.121003145,6.576384172,1.656902824,1.640799848,0.413521114,2.283125891,0.286696225,0.721987271,0.732084498,0.390767015,0.316227766,162.0017251,166.3527617,3.520666504,6.630115509,2.6,195,25,0.11145256,0.112405858,0.032238421,1.157660056,1.092016483,1.290338127,156.9902135,162.3988186,20.41608513
"AgedB6-0686","Batch1","Scorer2",92,40.59,7,0.285714286,8,-1,840.54804,2882.8376,947.35492,4242.73408,12328.2497,3614.609644,9,121.9075,1.433940826,0.193995134,0.556697569,0.125827487,15.71441926,2.321092917,2.347449269,3.134457441,3.789151355,0.541570416,1.733777278,0.195994834,0.5625,0.098389303,15.33902882,2.343707251,2.270762772,3.30276898,4.085286716,0.534683524,988,4.130053139,42.25684014,0.106814879,0.192613636,0.087033061,5.081985535,1.765322041,1.993645039,0.597155703,3.293188187,0.386698999,0.639166215,0.634725181,0.448671175,0.360555128,157.8896549,164.2590282,3.680216599,6.335562706,2.692582404,159,16,0.089258523,0.087746388,0.040648671,1.517871045,1.209338662,3.28213167,151.4816954,159.5975959,28.59423725
"AgedB6-0404","Batch1","Scorer2",44,29.74,4,0.169642857,4.75,1,611.23636,3111.4572,1443.66756,4938.3405,16150.2304,5676.64172,11,113.25598,-8.023492516,0.199138139,0.620448981,0.16590228,16.37233083,2.44544071,2.596610445,2.777622273,4.823746287,0.500595736,-5.665217117,0.192359903,0.611111111,0.118555717,15.81814913,2.454812684,2.679442108,2.802681286,5.05108873,0.492249715,1260,5.280887191,39.2220903,0.078328295,0.15,0.130378455,6.481865249,1.52553409,1.612658912,0.390122721,1.983778289,0.251418767,0.715122818,0.723417206,0.387552676,0.320156212,161.2812511,165.9637565,3.281254768,6.406376648,2.408318916,207,26,0.104546298,0.104536553,0.04162685,1.310354161,1.09658561,2.583088457,154.1989399,160.3687614,24.6357365
"AgedB6-0687","Batch1","Scorer2",92,38.28,7.5,0.303571429,8.5,-1,1311.34756,2410.2451,653.1727,4541.93195,8968.4718,2275.642935,4,34.00826,-3.196544616,0.174596379,0.565885154,0.131627485,12.9236511,2.365646804,1.940282032,2.824771907,3.31684506,0.538208944,-2.532764327,0.17743387,0.583333333,0.11059974,12.76934436,2.404231052,1.653020533,2.961534684,3.352434675,0.523673327,831,3.466151499,44.92086847,0.122281254,0.166666667,0.107201961,4.225735795,1.996917674,1.896527521,0.594349898,3.468136937,0.387963992,0.716389719,0.713689825,0.339074275,0.291547595,165.5872229,168.5352742,3.481694794,6.911753845,2.6,59,8,0.114359831,0.112809105,0.039460512,1.282874756,1.128051417,2.217820173,160.4936493,164.5203745,17.62594683
"AgedB6-0301","Batch1","Scorer1",105,33.49,6.5,0.241071429,6.75,-1,915.76916,2865.8484,978.2173,5902.0378,17444.2007,4949.10374,7,38.34976,-5.59001717,0.180667722,0.652088121,0.177326808,15.63654243,2.335618568,2.237415757,2.966824097,4.440495841,0.510446503,-4.019800423,0.172479032,0.65,0.133522201,15.42617974,2.402091143,2.191945286,2.984272536,4.464573867,0.481810655,1489,5.854436237,43.49695373,0.085040998,0.155844156,0.138236748,5.567575387,1.329109867,1.439265361,0.39278799,1.483547242,0.292392262,0.703307581,0.711489716,0.357825548,0.304138127,163.9422599,167.8884505,3.489852142,6.40629425,2.451530134,270,25,0.093814116,0.094119834,0.025421795,1.239477604,1.171537451,1.315842668,157.8855919,162.3935197,18.67332834
"AgedB6-0306","Batch1","Scorer1",75,41.65,3,0.142857143,4,1,868.04412,2913.57316,1173.20618,3714.293892,13886.347,4442.57731,12,155.7899,-2.009538933,0.215536955,0.583523908,0.140842432,14.82311652,2.270581508,2.816014842,2.920974218,4.170690074,0.669354005,-1.963838858,0.217009813,0.583333333,0.111830125,14.5684876,2.223395662,2.548241392,3.019241396,4.438741979,0.676336104,1237,4.404645707,31.98892126,0.073167512,0.166666667,0.09719815,4.583694601,1.643568456,2.206504279,0.491428814,1.965851282,0.321111477,0.555808545,0.557301922,0.393595549,0.320156212,161.9071843,166.6863677,3.579207993,6.149930191,2.6,203,21,0.108156284,0.10913412,0.031111463,1.136029312,1.073545528,1.302808112,155.5444109,161.3889377,21.5768225
"AgedB6-0302","Batch1","Scorer1",105,30.92,3.5,0.125,3.5,-1,802.16694,2919.86548,1161.37742,4420.4248,14443.0551,4567.96162,10,64.74466,-5.997740564,0.19721772,0.66810321,0.179168195,15.16699521,2.421737796,2.124963905,2.905490595,4.120675705,0.600593445,-5.035815998,0.191199026,0.666666667,0.141983278,14.68317638,2.349450851,2.012142243,2.9718,4.217327534,0.584187604,1209,4.828903357,44.23011267,0.088604531,0.166666667,0.145388298,6.372995837,1.668958582,1.738620763,0.348265012,2.22153375,0.337021032,0.673645393,0.674844986,0.357063842,0.316227766,162.9103911,166.1593045,3.56581955,6.073958588,2.529822128,151,11,0.098961571,0.097894132,0.030698756,1.191617627,1.09658561,2.003077628,157.3130843,161.4141738,18.68646465
"AgedB6-0307","Batch1","Scorer1",75,49.85,3.5,0.160714286,4.5,1,734.52796,2987.0642,1165.49852,3669.90994,12346.8855,3910.56737,6,53.10448,0.355880433,0.196276709,0.598555354,0.147517721,13.32717781,2.180910124,2.756555874,2.971422593,3.49514569,0.549808627,-1.581562613,0.197181815,0.607142857,0.117997049,12.99543347,2.157804094,2.600325,3.152069898,3.694054853,0.548157821,859,4.048284796,47.33927205,0.10459333,0.2,0.106264456,3.983700135,1.630694956,2.408410613,0.748467647,3.572906416,0.338947958,0.72838373,0.731338341,0.400090477,0.335410197,162.2888237,165.9637565,3.751899719,6.545509338,2.801785145,194,16,0.103318331,0.104818897,0.027879221,1.175435071,1.077032961,1.789472038,156.3489221,161.1975138,20.55031489
"AgedB6-0288","Batch1","Scorer3",87,33.51,3.5,0.160714286,4.5,1,706.8433,3014.74892,1430.29744,2941.457916,11711.1502,3983.02671,12,275.0234,1.381860069,0.237483375,0.657416729,0.196256353,16.06696668,2.600942672,2.82745276,2.900969236,5.141499842,0.63384548,2.74601992,0.227707158,0.653846154,0.159551184,15.63868201,2.651924785,2.793742383,2.9718,5.318712579,0.614498505,743,3.705425804,39.36904848,0.098420119,0.131313131,0.156891076,5.404195771,1.434415196,1.409680944,0.376888526,1.812119258,0.336288291,0.649571789,0.651481543,0.421648725,0.364005495,159.7415094,164.6574069,3.478170776,6.320670319,2.607680962,139,18,0.092303486,0.091506399,0.037867262,1.309559839,1.180042372,2.00747255,153.1003699,158.8387402,23.0199266
